Ranking,Artist,Song
1,Morgan Wallen,Last Night
2,SZA,Kill Bill
3,Miley Cyrus,Flowers
4,Eslabon Armado X Peso Pluma,Ella Baila Sola
5,Grupo Frontera X Bad Bunny,Un x100to
6,Rema & Selena Gomez,Calm Down
7,"Metro Boomin, The Weeknd & 21 Savage",Creepin'
8,The Weeknd & Ariana Grande,Die For You
9,PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2"
10,Taylor Swift,Anti-Hero
11,Yng Lvcas x Peso Pluma,La Bebe
12,Drake,Search & Rescue
13,Toosii,Favorite Song
14,Luke Combs,Fast Car
15,Miguel,Sure Thing
16,Coi Leray,Players
17,Bailey Zimmerman,Rock And A Hard Place
18,The Weeknd Featuring Future,Double Fantasy
19,Morgan Wallen,You Proof
20,Harry Styles,As It Was
21,Post Malone,Chemical
22,Morgan Wallen,One Thing At A Time
23,Morgan Wallen,Thinkin' Bout Me
24,Morgan Wallen,Thought You Should Know
25,David Guetta & Bebe Rexha,I'm Good (Blue)
26,Zach Bryan,Something In The Orange
27,Kane Brown With Katelyn Brown,Thank God
28,Peso Pluma,Por Las Noches
29,Ice Spice & Nicki Minaj,Princess Diana
30,RAYE Featuring 070 Shake,Escapism
31,Chris Brown,Under The Influence
32,Tyler Hubbard,Dancin' In The Country
33,Peso Pluma X Natanael Cano,PRC
34,NLE Choppa,Slut Me Out
35,Taylor Swift,Lavender Haze
36,Parker McCollum,Handle On You
37,Sam Smith & Kim Petras,Unholy
38,SZA,Snooze
39,Lil Uzi Vert,Just Wanna Rock
40,"Gabito Ballesteros, Peso Pluma & Natanael Cano",AMG
41,Fifty Fifty,Cupid
42,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains)
43,Karol G x Shakira,TQG
44,HARDY Featuring Lainey Wilson,Wait In The Truck
45,Ed Sheeran,Eyes Closed
46,Drake & 21 Savage,Spin Bout U
47,David Kushner,Daylight
48,Drake & 21 Savage,Rich Flex
49,Luke Combs,Love You Anyway
50,Fuerza Regida X Grupo Frontera,Bebe Dame
51,Corey Kent,Wild As Her
52,"Tyler, The Creator Featuring Kali Uchis",See You Again
53,Megan Moroney,Tennessee Orange
54,Jordan Davis,Next Thing You Know
55,Kim Petras Featuring Nicki Minaj,Alone
56,Becky G & Peso Pluma,Chanel
57,Junior H x Peso Pluma,El Azul
58,Agust D,Haegeum
59,Lil Baby,Low Down
60,Jelly Roll,Need A Favor
61,Lady Gaga,Bloody Mary
62,Jack Black,Peaches
63,Sabrina Carpenter,Nonsense
64,Morgan Wallen,Ain't That Some
65,Rod Wave,Fight The Feeling
66,Nicki Minaj,Red Ruby Da Sleeze
67,Rosalia & Rauw Alejandro,Beso
68,Fuerza Regida X Natanael Cano,Ch y La Pizza
69,Morgan Wallen Featuring ERNEST,Cowgirls
70,Morgan Wallen,I Wrote The Book
71,Chino Pacas,El Gordo Trae El Mando
72,Dierks Bentley,Gold
73,Morgan Wallen Featuring Eric Church,Man Made A Bar
74,Morgan Wallen,Everything I Love
75,Taylor Swift,Karma
76,Coco Jones,ICU
77,Carin Leon X Grupo Frontera,Que Vuelvas
78,"Metro Boomin, Travis Scott & Young Thug",Trance
79,Yandel & Feid,Yandel 150
80,Fuerza Regida & Peso Pluma,Igualito A Mi Apa
81,Ice Spice,In Ha Mood
82,Yahritza y Su Esencia x Grupo Frontera,Fragil
83,Cody Johnson,Human
84,Superstar Pride,Painting Pictures
85,Labrinth,Never Felt So Alone
86,Zach Bryan Featuring Maggie Rogers,Dawns
87,Lizzy McAlpine,Ceilings
88,Old Dominion,Memory Lane
89,Grupo Marca Registrada X Grupo Frontera,Di Que Si
90,Lil Yachty,Strike (Holster)
91,NF,Happy
92,Lil Baby Featuring Fridayy,Forever
93,Kali Uchis,Moonlight
94,Morgan Wallen,Sunrise
95,Brett Young,You Didn't
96,Scotty McCreery,It Matters To Her
97,Jimin,Like Crazy
98,Taylor Swift,All Of The Girls You Loved Before
99,Luke Combs,5 Leaf Clover
100,YoungBoy Never Broke Again,Big Truck
